Time	Open	High	Low	Close	Volume
2017-02-01 00:00:00	127.07	128.43	127.06	128.163	90
2017-02-02 00:00:00	128.16	130.48	127.851	128.68	390
2017-02-03 00:00:00	128.68	129.18	127.78	128.7	390
2017-02-04 00:00:00	128.7	129.056	128.342	129.048	300
2017-02-06 00:00:00	128.916	130.46	128.906	130.11	90
2017-02-07 00:00:00	130.107	131.99	129.89	131.85	389
2017-02-08 00:00:00	131.844	132.08	131.165	131.473	390
2017-02-09 00:00:00	131.474	132.21	131.12	131.539	390
2017-02-10 00:00:00	131.532	132.93	131.498	132.234	390
2017-02-11 00:00:00	132.232	132.552	132.06	132.11	300
2017-02-13 00:00:00	133.028	133.81	132.757	133.57	90
2017-02-14 00:00:00	133.571	133.87	133.18	133.74	390
2017-02-15 00:00:00	133.74	136.257	133.68	135.23	390
2017-02-16 00:00:00	135.221	135.89	134.631	135.037	390
2017-02-17 00:00:00	135.043	135.78	134.89	135.27	390
2017-02-18 00:00:00	135.27	135.71	135.131	135.71	300
2017-02-21 00:00:00	136.239	136.6	135.97	136.428	90
2017-02-22 00:00:00	136.43	136.74	136.073	136.45	390
2017-02-23 00:00:00	136.45	137.471	136.36	136.38	389
2017-02-24 00:00:00	136.386	136.92	135.271	135.79	390
2017-02-25 00:00:00	135.79	136.64	135.73	136.63	300
2017-02-27 00:00:00	137.015	137.428	136.281	137.04	90
2017-02-28 00:00:00	137.04	137.43	136.77	137.22	390
2017-03-01 00:00:00	137.22	139.01	136.7	138.914	388
2017-03-02 00:00:00	138.919	140.26	138.861	139.69	390
2017-03-03 00:00:00	139.684	139.724	138.58	139.01	390
2017-03-04 00:00:00	139.01	139.82	138.89	139.76	300
2017-03-06 00:00:00	139.335	139.74	138.652	138.68	90
2017-03-07 00:00:00	138.69	139.98	138.6	139.74	390
2017-03-08 00:00:00	139.74	139.822	138.895	139.683	390
2017-03-09 00:00:00	139.693	139.79	137.047	138.64	390
2017-03-10 00:00:00	138.64	139.269	137.8	138.97	390
2017-03-11 00:00:00	138.969	139.34	138.773	139.14	300
2017-03-13 00:00:00	138.922	139.392	138.798	138.98	152
2017-03-14 00:00:00	138.98	139.652	138.841	139.204	515
2017-03-15 00:00:00	139.209	139.528	138.852	139.51	391
2017-03-16 00:00:00	139.51	141.003	139.416	140.572	391
2017-03-17 00:00:00	140.571	140.964	140.38	140.605	391
2017-03-18 00:00:00	140.604	140.94	139.895	139.913	240
2017-03-20 00:00:00	140.342	141.333	140.23	141.08	150
2017-03-21 00:00:00	141.08	142.782	140.86	141.461	391
2017-03-22 00:00:00	141.47	141.47	139.73	141.12	391
2017-03-23 00:00:00	141.12	141.59	140.61	141.31	390
2017-03-24 00:00:00	141.32	141.73	140.624	141.424	390
2017-03-25 00:00:00	141.41	141.449	140.364	140.637	241
2017-03-27 00:00:00	139.34	140.66	138.62	140.571	150
2017-03-28 00:00:00	140.56	142.74	140.476	142.579	390
2017-03-29 00:00:00	142.57	144.19	142.553	143.542	391
2017-03-30 00:00:00	143.546	144.49	143.506	143.76	390
2017-03-31 00:00:00	143.75	144.256	143.081	143.838	390
2017-04-01 00:00:00	143.834	144.113	143.503	143.712	240
2017-04-03 00:00:00	143.687	144.106	143.236	143.369	150
2017-04-04 00:00:00	143.368	144.477	143.052	144.258	391
2017-04-05 00:00:00	144.265	145.38	144.026	145.19	391
2017-04-06 00:00:00	145.195	145.458	143.476	144.071	391
2017-04-07 00:00:00	144.071	144.409	143.268	143.609	391
2017-04-08 00:00:00	143.608	144.01	143.308	143.338	241
2017-04-10 00:00:00	143.699	143.856	143.146	143.249	150
2017-04-11 00:00:00	143.248	143.746	140.056	140.818	391
2017-04-12 00:00:00	140.829	142.14	140.727	141.339	391
2017-04-13 00:00:00	141.336	142.37	141.006	142.177	391
2017-04-14 00:00:00	142.177	142.179	141.046	141.046	241
2017-04-17 00:00:00	141.177	141.688	140.862	141.098	150
2017-04-18 00:00:00	141.097	142.029	141.086	141.33	391
2017-04-19 00:00:00	141.32	141.984	141.107	141.787	391
2017-04-20 00:00:00	141.786	142.296	140.446	142.296	391
2017-04-21 00:00:00	142.298	142.918	142.108	142.433	391
2017-04-22 00:00:00	142.432	142.447	141.848	142.248	241
2017-04-24 00:00:00	143.509	143.938	143.178	143.597	150
2017-04-25 00:00:00	143.598	144.69	143.543	144.566	391
2017-04-26 00:00:00	144.568	144.89	143.807	144.029	391
2017-04-27 00:00:00	144.033	144.58	143.301	143.628	391
2017-04-28 00:00:00	143.629	144.002	143.258	143.937	391
2017-04-29 00:00:00	143.936	144.289	143.447	143.607	241
2017-05-01 00:00:00	144.985	146.289	144.908	146.239	150
2017-05-02 00:00:00	146.247	148.08	146.038	147.679	391
2017-05-03 00:00:00	147.686	147.849	144.268	146.11	391
2017-05-04 00:00:00	146.108	147.489	145.826	146.19	392
2017-05-05 00:00:00	146.196	148.67	145.809	148.65	391
2017-05-06 00:00:00	148.658	148.968	148.348	148.949	241
2017-05-08 00:00:00	149.028	152.069	149.017	152.048	150
2017-05-09 00:00:00	152.048	154.868	151.97	153.931	391
2017-05-10 00:00:00	153.931	154.52	152.11	153.019	391
2017-05-11 00:00:00	153.016	153.631	152.301	152.597	391
2017-05-12 00:00:00	152.597	156.41	152.556	156.118	391
2017-05-13 00:00:00	156.118	156.229	155.53	156.095	241
2017-05-15 00:00:00	156.008	156.638	155.042	155.258	150
2017-05-16 00:00:00	155.247	156.03	154.717	155.301	391
2017-05-17 00:00:00	155.308	155.469	150.135	152.308	391
2017-05-18 00:00:00	152.307	153.329	149.726	151.739	391
2017-05-19 00:00:00	151.742	153.97	151.557	153.529	391
2017-05-20 00:00:00	153.535	153.72	152.627	152.907	241
2017-05-22 00:00:00	154.026	154.558	152.907	153.657	150
2017-05-23 00:00:00	153.657	154.868	153.578	153.919	391
2017-05-24 00:00:00	153.918	154.148	152.678	152.874	391
2017-05-25 00:00:00	152.858	154.098	152.846	153.731	391
2017-05-26 00:00:00	153.732	154.329	153.458	153.458	391
2017-05-27 00:00:00	153.458	153.915	153.308	153.558	241
2017-05-30 00:00:00	153.346	154.059	153.329	153.881	150
2017-05-31 00:00:00	153.888	154.42	152.376	153.188	391
2017-06-01 00:00:00	153.189	153.384	152.208	152.898	391
2017-06-02 00:00:00	152.898	153.99	152.687	153.987	391
2017-06-03 00:00:00	153.988	155.439	153.988	155.288	241
2017-06-05 00:00:00	154.268	154.439	153.458	153.809	150
2017-06-06 00:00:00	153.813	154.789	153.603	154.358	391
2017-06-07 00:00:00	154.358	155.966	154.178	155.447	391
2017-06-08 00:00:00	155.447	155.56	154.401	155.089	391
2017-06-09 00:00:00	155.089	155.18	153.576	153.838	391
2017-06-10 00:00:00	153.839	153.85	146.027	148.675	243
2017-06-12 00:00:00	145.595	146.068	142.618	145.041	150
2017-06-13 00:00:00	145.041	147.43	143.359	146.099	391
2017-06-14 00:00:00	146.098	147.48	145.377	146.099	391
2017-06-15 00:00:00	146.099	146.13	142.229	143.1	391
2017-06-16 00:00:00	143.1	144.49	142.996	143.364	391
2017-06-17 00:00:00	143.358	143.489	142.201	142.247	241
2017-06-19 00:00:00	143.897	146.183	143.7	145.809	150
2017-06-20 00:00:00	145.818	146.837	145.005	145.425	391
2017-06-21 00:00:00	145.438	145.94	144.61	145.711	391
2017-06-22 00:00:00	145.712	146.06	145.112	145.36	390
2017-06-23 00:00:00	145.353	146.9	145.103	146.862	390
2017-06-24 00:00:00	146.854	147.15	146.194	146.285	240
2017-06-26 00:00:00	147.08	148.28	145.38	145.87	150
2017-06-27 00:00:00	145.87	146.49	144.79	145.632	390
2017-06-28 00:00:00	145.61	145.913	143.16	145.09	386
2017-06-29 00:00:00	145.082	146.1	142.994	143.19	391
2017-06-30 00:00:00	143.2	144.95	142.28	144.67	390
2017-07-01 00:00:00	144.67	144.86	144.012	144.095	240
2017-07-03 00:00:00	144.96	145.303	143.103	144.061	150
2017-07-04 00:00:00	144.06	144.061	143.17	143.581	61
2017-07-05 00:00:00	143.702	144.38	142.72	144.144	150
2017-07-06 00:00:00	144.124	144.78	142.413	142.983	390
2017-07-07 00:00:00	142.99	144.24	142.522	144.15	390
2017-07-08 00:00:00	144.144	144.74	143.93	144.16	240
2017-07-10 00:00:00	144.16	144.98	143.36	144.84	150
2017-07-11 00:00:00	144.84	145.94	144.37	145.101	390
2017-07-12 00:00:00	145.113	146.152	144.732	145.18	391
2017-07-13 00:00:00	145.18	147.56	144.96	147.523	391
2017-07-14 00:00:00	147.522	148.48	147.33	147.78	391
2017-07-15 00:00:00	147.771	149.32	147.751	149.05	241
2017-07-17 00:00:00	148.881	150.855	148.57	149.603	150
2017-07-18 00:00:00	149.593	150.125	148.67	149.28	390
2017-07-19 00:00:00	149.281	150.94	149.1	150.723	390
2017-07-20 00:00:00	150.74	151.725	150.18	150.71	390
2017-07-21 00:00:00	150.691	151.051	148.88	149.96	390
2017-07-22 00:00:00	149.96	150.43	149.88	150.293	240
2017-07-24 00:00:00	150.521	151.32	150.014	151.28	150
2017-07-25 00:00:00	151.281	153.83	151.27	153.67	390
2017-07-26 00:00:00	153.673	153.92	152.654	153.451	391
2017-07-27 00:00:00	153.47	153.96	152.902	153.313	390
2017-07-28 00:00:00	153.31	153.38	147.4	149.72	391
2017-07-29 00:00:00	149.73	150.122	149.19	149.485	241
2017-07-31 00:00:00	149.9	150.31	148.24	148.803	150
2017-08-01 00:00:00	148.793	149.4	148.124	148.96	390
2017-08-02 00:00:00	148.961	159.72	148.701	157.78	390
2017-08-03 00:00:00	157.79	158.36	155.28	155.95	390
2017-08-04 00:00:00	155.96	157.35	155.03	156.44	390
2017-08-05 00:00:00	156.45	156.54	155.781	156.342	240
2017-08-07 00:00:00	156.963	158.14	156.66	158.02	150
2017-08-08 00:00:00	158.02	161.81	157.67	161.44	390
2017-08-09 00:00:00	161.431	161.744	159.21	160.722	390
2017-08-10 00:00:00	160.733	161.26	157.29	157.482	390
2017-08-11 00:00:00	157.461	158.56	154.62	157.625	391
2017-08-12 00:00:00	157.613	158.3	156.87	157.48	240
2017-08-14 00:00:00	159.323	159.7	158.75	159.31	150
2017-08-15 00:00:00	159.31	161.64	159.05	161.273	390
2017-08-16 00:00:00	161.27	162.383	160.94	162.012	391
2017-08-17 00:00:00	162.01	162.5	158.403	159.28	390
2017-08-18 00:00:00	159.28	159.505	156.724	159.2	390
2017-08-19 00:00:00	159.18	159.415	157.42	157.5	240
2017-08-21 00:00:00	157.41	157.86	155.11	156.91	150
2017-08-22 00:00:00	156.913	159.86	156.111	159.803	390
2017-08-23 00:00:00	159.801	160.402	158.87	160.32	390
2017-08-24 00:00:00	160.323	160.68	158.55	159.05	390
2017-08-25 00:00:00	159.07	160.56	158.8	159.642	390
2017-08-26 00:00:00	159.65	160.34	159.251	159.854	240
2017-08-28 00:00:00	160.154	161.99	159.94	161.65	150
2017-08-29 00:00:00	161.65	162.95	160	162.84	390
2017-08-30 00:00:00	162.832	163.863	162.15	163.19	390
2017-08-31 00:00:00	163.19	164.095	162.6	163.92	390
2017-09-01 00:00:00	163.92	164.93	163.695	164.184	390
2017-09-02 00:00:00	164.18	164.214	163.621	163.995	240
2017-09-05 00:00:00	163.68	164.22	162.64	162.89	150
2017-09-06 00:00:00	162.9	162.974	160.512	161.18	390
2017-09-07 00:00:00	161.173	162.19	160.974	161.84	390
2017-09-08 00:00:00	161.85	162.08	159.3	159.83	391
2017-09-09 00:00:00	159.79	160.16	158.52	158.62	240
2017-09-11 00:00:00	160.57	162.03	159.894	161.57	150
2017-09-12 00:00:00	161.56	162.73	160.31	161.02	390
2017-09-13 00:00:00	161.03	163.93	157.9	158.262	394
2017-09-14 00:00:00	158.26	159.65	158.243	158.99	390
2017-09-15 00:00:00	158.99	160.958	157.999	160.569	390
2017-09-16 00:00:00	160.568	160.658	159.717	159.878	240
2017-09-18 00:00:00	160.067	160.468	159.047	159.737	150
2017-09-19 00:00:00	159.738	159.888	157.997	159.078	391
2017-09-20 00:00:00	159.077	159.488	153.828	154.77	390
2017-09-21 00:00:00	154.768	156.177	152.748	154.028	392
2017-09-22 00:00:00	154.037	154.54	150.557	151.07	391
